NAICS Code,Kind of Business,Jan. 2018,Feb. 2018,Mar. 2018,Apr. 2018,May 2018,Jun. 2018,Jul. 2018,Aug. 2018,Sep. 2018,Oct. 2018,Nov. 2018,Dec. 2018,Jan. 2019,Feb. 2019,Mar. 2019,Apr. 2019,May 2019,Jun. 2019,Jul. 2019,Aug. 2019,Sep. 2019,Oct. 2019,Nov. 2019,Dec. 2019,Jan. 2020,Feb. 2020,Mar. 2020,Apr. 2020,May 2020,Jun. 2020,Jul. 2020,Aug. 2020,Sep. 2020,Oct. 2020,Nov. 2020,Dec. 2020,Jan. 2021,Feb. 2021,Mar. 2021,Apr. 2021,May 2021,Jun. 2021,Jul. 2021,Aug. 2021,Sep. 2021,Oct. 2021,Nov. 2021,Dec. 2021,Jan. 2022,Feb. 2022,Mar. 2022,Apr. 2022,May 2022,Jun. 2022,Jul. 2022,Aug. 2022,Sep. 2022,Oct. 2022,Nov. 2022,Dec. 2022,Jan. 2023,Feb. 2023,Mar. 2023,Apr. 2023,May 2023,Jun. 2023,Jul. 2023,Aug. 2023,Sep. 2023,Oct. 2023,Nov. 2023,Dec. 2023
445,Food and beverage stores,61793,62049,62231,62353,62434,62202,62597,62430,62777,63119,63210,63264,64172,62953,64066,64293,64215,64523,65362,65375,64873,64717,64901,65375,64665,64859,81816,70989,72222,70819,71247,70150,70162,"69,699","70,559",70368,71322,71650,"71,966","72,553","73,178","73,796","73,663","75,361","75,724","76,303","76,525","77,013","77,522","77,778","78,468","78,807","79,541","80,479","80,179","80,654","81,307","82,145","82,386","82,137","81,754","82,203","81,909","81,778","81,788","81,463","82,007","82,292","82,623","82,744","82,993","82,765"
4451,Grocery stores,55338,55558,55721,55862,55893,55700,56057,55934,56179,56463,56557,56632,57527,56332,57440,57644,57581,57850,58601,58605,58130,57954,58122,58564,57915,58008,74223,64070,64550,63114,63513,62327,62297,"61,924","62,791",62659,63335,63714,"63,837","64,366","65,018","65,595","65,656","67,330","67,712","68,341","68,398","68,944","69,483","69,619","70,331","70,735","71,509","72,387","72,114","72,445","73,114","73,885","74,135","74,015","73,323","73,946","73,731","73,535","73,414","73,118","73,632","73,977","74,204","74,262","74,465","74,186"
4453,"Beer, wine and liquor stores",4513,4514,4546,4552,4592,4563,4596,4556,4626,4660,4676,4683,4659,4661,4664,4661,4676,4718,4774,4790,4767,4783,4814,4873,4858,4876,5622,5189,5672,5662,5697,5790,5758,"5,668","5,691",5600,5868,5825,"5,926","5,938","5,894","5,885","5,707","5,763","5,762","5,764","5,823","5,783","5,752","5,910","5,841","5,801","5,767","5,846","5,810","5,876","5,893","5,967","5,942","5,879","6,107","5,938","5,892","5,976","6,028","5,972","5,993","5,948","6,017","6,046","6,061","6,142"
446,Health and personal care stores,27674,27544,27711,28006,28416,28151,28348,28562,28344,28537,29076,27778,28556,28761,28667,28559,28811,28656,28513,28516,28514,28863,28671,28411,29232,29577,31089,26455,27033,29006,30586,30309,30716,"30,694","30,187",30334,30346,30033,"32,551","32,505","31,859","32,857","32,704","32,956","32,676","32,566","32,890","32,801","32,747","32,335","32,738","32,964","32,898","33,427","33,587","33,627","33,965","33,889","34,094","33,165","34,716","35,437","35,423","35,542","35,928","36,020","36,042","36,567","36,891","37,389","37,455","36,642"
44611,Pharmacies and drug stores,23060,22804,22943,23141,23478,23168,23438,23681,23485,23630,24013,23034,23693,23911,23857,23799,23982,23772,23612,23695,23541,23900,23563,23422,24088,24358,27262,24277,24133,25209,25860,25560,26124,"25,871","25,443",25502,25469,25281,"27,373","27,348","26,666","27,596","27,264","27,636","27,447","27,227","27,547","27,559","27,591","26,956","27,319","27,445","27,444","27,876","28,010","27,799","28,154","28,126","28,358","27,487","28,685","29,302","29,455","29,403","29,847","29,946","29,860","30,392","30,669","31,450","31,224","30,597"
447,Gasoline stations,42820,43188,42865,42946,43787,43465,43729,44366,43825,45511,43224,40696,39681,41301,42907,44428,43684,41916,42577,42611,42296,42786,42667,43980,43191,41408,34947,26948,29847,33578,35253,36179,36416,"36,347","35,264",38425,40368,41303,"46,005","44,722","44,813","45,688","46,659","48,184","49,775","51,660","52,536","53,804","53,146","56,066","63,284","63,825","66,583","68,257","66,391","61,516","58,728","61,087","59,931","56,759","56,744","55,548","54,993","54,426","52,824","52,499","52,652","56,204","56,747","55,783","53,734","53,300"
448,Clothing and clothing access. stores,21811,22362,21663,22070,22779,22206,22562,22106,21963,22426,22492,22169,22050,22128,22430,22353,22168,22150,22519,22470,22248,22297,22250,23168,22816,22656,11402,2849,8260,17088,17892,18192,20550,"20,051","19,084",19976,20710,19774,"24,049","23,962","24,616","25,570","25,047","24,593","24,881","25,030","25,715","24,873","24,278","25,096","26,107","26,174","25,716","25,930","25,318","25,708","25,964","26,018","25,856","25,374","26,534","25,917","25,677","25,652","25,697","25,736","26,052","26,314","25,995","25,958","26,262","26,625"
4481,Clothing stores,15949,16383,15815,16025,16699,16148,16396,16217,16152,16370,16432,16190,16112,16053,16353,16267,16193,16190,16348,16293,16099,16289,16234,16978,16514,16478,7814,1799,5204,11336,12099,12625,14175,"13,867","13,121",13609,14090,13665,"16,394","16,537","16,903","17,765","17,566","17,194","17,372","17,281","17,747","17,177","16,910","17,347","18,114","18,209","18,116","18,083","17,714","18,073","18,306","18,486","18,395","18,166","18,873","18,730","18,500","18,447","18,416","18,419","18,811","19,078","18,901","18,723","18,932","19,153"
44811,Men's clothing stores,756,772,767,797,781,782,769,773,769,769,781,758,791,738,765,770,763,765,771,781,783,788,805,806,790,786,345,83,153,346,493,458,460,(S),(S),505,467,473,613,618,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S)
44812,Women's clothing stores,3218,3286,3175,3305,3455,3315,3305,3351,3348,3435,3505,3231,3206,3160,3215,3182,3226,3166,3214,3162,3192,3239,3182,3238,3292,3253,1500,494,1008,2170,2614,2669,2864,"2,796","2,624",2697,2938,2744,"3,151","3,192","3,275","3,582","3,640","3,475","3,499","3,435","3,489","3,350","3,380","3,516","3,630","3,538","3,494","3,475","3,369","3,519","3,488","3,439","3,426","3,392","3,468","3,356","3,322","3,267","3,312","3,265","3,333","3,362","3,335","3,349","3,395","3,416"
